Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,,Exchange
BTG,B2Gold Corp,2.75,1858106811,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg,,AMEX
BONE,"Bacterin International Holdings, Inc.",0.87,45017398.32,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bone,,AMEX
BTN,"Ballantyne Strong, Inc",4.68,66172682.16,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn,,AMEX
BKJ,"Bancorp of New Jersey, Inc",13.444,71861756.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj,,AMEX
BCV,Bancroft Fund Limited,19.55,104390724.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv,,AMEX
BAA,BANRO CORPORATION,0.511,128823443.4,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa,,AMEX
BHB,"Bar Harbor Bankshares, Inc.",37.81,149130920.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb,,AMEX
BRN,"Barnwell Industries, Inc.",3.01,24914251.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn,,AMEX
BXE,Bellatrix Exploration Ltd,8.26,1416682727,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bxe,,AMEX
BIR^A,"Berkshire Income Realty, Inc.",27.32,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bir^a,,AMEX
BTX,"BioTime, Inc.",3.11,216451985,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx,,AMEX
BGI,Birks Group Inc.,1.1,19624624.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bgi,,AMEX
BQY,BlackRock Dividend Income Trust,12.98,78308703.44,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/bqy,,AMEX
BZM,BlackRock Maryland Municipal Bond Trust,13.38,27754642.44,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm,,AMEX
MHE,BlackRock Massachusetts Tax-Exempt Trust,12.54,0,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe,,AMEX
BLE,BlackRock Municipal Income Trust II,14,328190646,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble,,AMEX
BLJ,Blackrock New Jersey Municipal Bond Trust,13.93,32386093.81,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj,,AMEX
BFY,BlackRock New York Municipal Income Trust II,13.67,68335113.37,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy,,AMEX
BPS,BlackRock Pennsylvania Strategic Municipal Trust (The),12.5801,25564209.91,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/bps,,AMEX
BHV,BlackRock Virginia Municipal Bond Trust,15.37,24380616.39,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv,,AMEX
BDR,"Blonder Tongue Laboratories, Inc.",0.92,5718449.52,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr,,AMEX
BVX,Bovie Medical Corporation,3.83,68274866.88,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx,,AMEX
BWL/A,"Bowl America, Inc.",15.5,0,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/bwl/a,,AMEX
BZC,Breeze-Eastern Corporation,9.76,95049194.72,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/bzc,,AMEX
BTI,British American Tobacco p.l.c.,110.79,1.04295E+11,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti,,AMEX
CAK,CAMAC Energy Inc.,0.8197,877360962,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cak,,AMEX
CANF,Can-Fite Biopharma Ltd,5.23,37324088.51,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf,,AMEX
ROX,"Castle Brands, Inc.",1.23,184661848.3,n/a,2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox,,AMEX
CAW,"CCA Industries, Inc.",3.0899,21649952.89,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw,,AMEX
CVM,Cel-Sci Corporation,1.54,86221543.1,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm,,AMEX
CVM/WS,Cel-Sci Corporation,0.4298,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm/ws,,AMEX
CEF,Central Fund of Canada Limited,13.83,3518804421,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef,,AMEX
GTU,Central Gold Trust,45.58,879648420,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gtu,,AMEX
CET,Central Securities Corporation,22.19,535096827.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet,,AMEX
CCF,Chase Corporation,31.5,286557957,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf,,AMEX
CQH,"Cheniere Energy Partners LP Holdings, LLC",21.21,4914357000,n/a,2013,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh,,AMEX
CQP,"Cheniere Energy Partners, LP",29.84,10079833028,n/a,2007,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp,,AMEX
LNG,"Cheniere Energy, Inc.",54.87,13064890870,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng,,AMEX
CVR,Chicago Rivet & Machine Co.,39.95,38596973.4,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr,,AMEX
CHGS,"China GengSheng Minerals, Inc.",0.33,8845004.52,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/chgs,,AMEX
CNR,China Metro-Rural Holdings Limited,1.03,75750095.46,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cnr,,AMEX
CPHI,"China Pharma Holdings, Inc.",0.5,21789778.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphi,,AMEX
CKX,"CKX Lands, Inc.",15.2,29525924,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx,,AMEX
GLV,Clough Global Allocation Fund,15.15,158084280.9,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/glv,,AMEX
GLQ,Clough Global Equity Fund,15.35,273854821.8,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/glq,,AMEX
GLO,Clough Global Opportunities Fund,12.75,659644952.3,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/glo,,AMEX
CRV,"Coast Distribution System, Inc. (The)",3.82,19469523.88,n/a,n/a,Capital Goods,Automotive Aftermarket,http://www.nasdaq.com/symbol/crv,,AMEX
MOC,Command Security Corporation,1.846,17165882.01,n/a,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/moc,,AMEX
CIX,CompX International Inc.,10.06,124714896.4,n/a,1998,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix,,AMEX
LODE,"Comstock Mining, Inc.",1.6799,122384805.6,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode,,AMEX
CTO,Consolidated-Tomoka Land Co.,40.21,236485424.4,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto,,AMEX
CEP,"Constellation Energy Partners, LLC",2.64,75046466.88,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cep,,AMEX
MCF,Contango Oil & Gas Company,46.78,906007486.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf,,AMEX
