Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
ACXM,Acxiom Corporation,33.3,2543427227,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,nasdaq
ADMP,Adamis Pharmaceuticals Corporation,6.335,66327367.65,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,nasdaq
ADUS,Addus HomeCare Corporation,22.34,243795816.8,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,nasdaq
AEY,"ADDvantage Technologies Group, Inc.",3.1699,31694181.75,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,nasdaq
ADEP,"Adept Technology, Inc.",17.93,233090000,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep,nasdaq
ADBE,Adobe Systems Incorporated,64.88,32405413770,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,nasdaq
ADTN,"ADTRAN, Inc.",24.27,1374734541,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,nasdaq
ADES,"Advanced Emissions Solutions, Inc.",22.53,244777545.5,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades,nasdaq
AEIS,"Advanced Energy Industries, Inc.",23.9,980593888.7,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,nasdaq
ADXS,"Advaxis, Inc.",3.13,43871156.72,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,nasdaq
ADXSW,"Advaxis, Inc.",1.24,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,nasdaq
ADVS,"Advent Software, Inc.",28.91,1484037406,n/a,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs,nasdaq
YPRO,AdvisorShares Trust,25.05,47595000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ypro,nasdaq
AEGR,"Aegerion Pharmaceuticals, Inc.",44.87,1319674890,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr,nasdaq
AEGN,Aegion Corp,24.26,921197469.2,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,nasdaq
AEHR,Aehr Test Systems,2.8,30729109.6,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,nasdaq
AEPI,AEP Industries Inc.,36.74,205829714.4,n/a,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi,nasdaq
AERI,"Aerie Pharmaceuticals, Inc.",21.12,491538981.1,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,nasdaq
AVAV,"AeroVironment, Inc.",39.19,892957239.5,n/a,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,nasdaq
AEZS,AEterna Zentaris Inc.,1.2,67816762.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,nasdaq
ATRM,Aetrium Incorporated,4.84,5218371.84,n/a,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/atrm,nasdaq
AFFX,"Affymetrix, Inc.",6.65,482002187.8,n/a,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx,nasdaq
AGEN,Agenus Inc.,3.22,200198022.8,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,nasdaq
AGYS,"Agilysys, Inc.",13.21,296972015.3,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,nasdaq
AGIO,"Agios Pharmaceuticals, Inc.",37.02,1169456617,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,nasdaq
AIRM,Air Methods Corporation,53.25,2082452915,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm,nasdaq
AIRT,"Air T, Inc.",12.43,29272998.04,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,nasdaq
ATSG,"Air Transport Services Group, Inc",7.74,500426116.4,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,nasdaq
AMCN,AirMedia Group Inc,2.44,102966399.4,42199344,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn,nasdaq
AIXG,Aixtron SE,16.21,118509089.2,7310863,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg,nasdaq
AKAM,"Akamai Technologies, Inc.",58.24,10397932680,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,nasdaq
AKBA,"Akebia Therapeutics, Inc.",20,385360540,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/akba,nasdaq
AKER,Akers Biosciences Inc,4.53,22173611.61,n/a,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker,nasdaq
AKRX,"Akorn, Inc.",21,2029710900,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,nasdaq
ALSK,"Alaska Communications Systems Group, Inc.",1.92,93269095.68,n/a,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk,nasdaq
AMRI,"Albany Molecular Research, Inc.",18.03,582864788.9,n/a,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri,nasdaq
ALCS,"ALCO Stores, Inc.",10.11,32940027.93,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/alcs,nasdaq
ADHD,Alcobra Ltd.,18.53,248820858.5,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd,nasdaq
ALXN,"Alexion Pharmaceuticals, Inc.",149.42,29559814782,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,nasdaq
ALXA,"Alexza Pharmaceuticals, Inc.",4.35,75181280.55,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa,nasdaq
ALCO,"Alico, Inc.",37.56,276083089.8,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco,nasdaq
ALGN,"Align Technology, Inc.",50.73,4133527021,n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,nasdaq
ALIM,"Alimera Sciences, Inc.",7.2,272959135.2,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim,nasdaq
ALKS,Alkermes plc,41.97,6051456747,n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks,nasdaq
ALGT,Allegiant Travel Company,108.48,2017191132,n/a,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt,nasdaq
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",15.48,67205413.8,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/allb,nasdaq
AFOP,"Alliance Fiber Optic Products, Inc.",13.8,254298961.8,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop,nasdaq
AIQ,"Alliance HealthCare Services, Inc.",33.69,359701493.1,n/a,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq,nasdaq
AHGP,"Alliance Holdings GP, L.P.",61.5,3681574500,n/a,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp,nasdaq
ARLP,"Alliance Resource Partners, L.P.",82.8,3066110248,n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp,nasdaq
AHPI,"Allied Healthcare Products, Inc.",2.1497,17255957.91,n/a,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi,nasdaq
AMOT,"Allied Motion Technologies, Inc.",11.79,108945471.4,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot,nasdaq
ALQA,"Alliqua, Inc.",8.425,105325348.1,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa,nasdaq
ALLT,Allot Communications Ltd.,13.21,430835656,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt,nasdaq
MDRX,"Allscripts Healthcare Solutions, Inc.",18,3222946404,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx,nasdaq
AFAM,Almost Family Inc,23.46,220771573.4,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam,nasdaq
ALNY,"Alnylam Pharmaceuticals, Inc.",61.74,3946224096,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,nasdaq
AOSL,Alpha and Omega Semiconductor Limited,7.19,186897054.1,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl,nasdaq
ATEC,"Alphatec Holdings, Inc.",1.5,146400582,n/a,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec,nasdaq
ALTI,Altair Nanotechnologies Inc.,4.37,50648592.79,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alti,nasdaq
ALTR,Altera Corporation,35.45,11257654683,n/a,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr,nasdaq
ASPS,Altisource Portfolio Solutions S.A.,117.59,2660899191,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps,nasdaq
APSA,Alto Palermo S.A.,16.52,30873732.4,1868870,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/apsa,nasdaq
AIMC,Altra Industrial Motion Corp.,34.56,935449655,n/a,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,nasdaq
AMAG,"AMAG Pharmaceuticals, Inc.",18.96,413328151.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag,nasdaq
AMRN,Amarin Corporation PLC,1.86,307004189.8,165056016,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn,nasdaq
AMRK,"A-Mark Precious Metals, Inc.",13,96234619,n/a,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk,nasdaq
AMZN,"Amazon.com, Inc.",338.29,1.55365E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,nasdaq
AMBC,"Ambac Financial Group, Inc.",30.2,1359077765,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc,nasdaq
AMBCW,"Ambac Financial Group, Inc.",19.66,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw,nasdaq
AMBA,"Ambarella, Inc.",26.37,743967395.9,n/a,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,nasdaq
EPAX,"Ambassadors Group, Inc.",3.8,64536657.8,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/epax,nasdaq
AMBT,Ambient Corporation,1.42,23741386.12,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ambt,nasdaq
AMBI,Ambit Biosciences Corporation,8.81,157890591.1,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ambi,nasdaq
AMCX,AMC Networks Inc.,72.03,5207608229,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,nasdaq
DOX,Amdocs Limited,45.78,7307312040,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,nasdaq
AMDA,Amedica Corporation,7.61,92289924.94,n/a,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda,nasdaq
AMED,Amedisys Inc,14.73,481923251.3,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,nasdaq
UHAL,Amerco,227.02,4451360032,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,nasdaq
ASBI,Ameriana Bancorp,13.304,39788964.61,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbi,nasdaq
